TapTime,Miliseconds
10:56:04,429
10:56:04,0
10:56:09,255
10:56:11,428
10:56:13,362
10:56:16,0
10:56:18,279
10:56:21,300
10:56:23,0
10:56:26,297
10:56:28,0
10:56:30,301
10:56:34,234
10:56:37,253
10:56:41,214
10:56:44,318
10:56:48,286
10:56:51,0
10:56:54,324
10:56:57,388
10:57:00,377
10:57:02,494
10:57:07,926
10:57:12,1170
10:57:15,1153
10:57:17,244
10:57:22,15
10:57:25,0
10:57:28,311
10:57:31,304
10:57:34,0
10:57:37,0
10:57:39,433
10:57:42,0
10:57:45,265
10:57:48,0
10:57:48,0
10:57:51,154
10:57:54,264
10:57:57,0
10:57:58,0
10:57:58,0
10:57:59,0
10:57:59,0
10:58:02,0
10:58:06,322
10:58:08,330
10:58:14,380
10:58:15,0
10:58:18,0
10:58:22,0
10:58:26,0
10:58:28,562
10:58:30,378
10:58:33,284
10:58:36,316
10:58:38,515
10:58:42,1741
10:58:45,270
10:58:47,220
10:58:49,384
10:58:52,214
10:58:54,0
10:58:58,279
10:59:01,321
10:59:06,301
10:59:09,1205
10:59:14,331
10:59:17,0
10:59:19,460
10:59:23,763
10:59:27,607
10:59:31,830
10:59:32,0
10:59:35,453
10:59:39,444
10:59:42,556
10:59:46,528
10:59:50,395
10:59:54,322
10:59:56,0
10:59:58,0
11:00:01,368
11:00:05,289
11:00:07,843
11:00:10,324
11:00:13,369
11:00:14,0
11:00:15,0
11:00:17,0
11:00:17,0
11:00:21,0
11:00:23,908
11:00:26,357
11:00:32,3236
11:00:34,341
11:00:38,0
11:00:40,380
11:00:44,695
11:00:49,335
11:00:52,0
11:00:55,0
11:00:59,305
11:01:01,523
11:01:05,305
11:01:08,0
11:01:11,0
11:01:14,426
11:01:18,236
11:01:21,371
11:01:24,609
11:01:28,275
11:01:31,437
11:01:33,456
11:01:38,287
11:01:42,284
11:01:45,332
11:01:49,233
11:01:54,630
11:01:56,860
11:01:58,0
11:01:59,0
11:02:01,41
11:02:04,525
11:02:07,0
11:02:11,0
11:02:14,0
11:02:15,0
11:02:16,0
11:02:18,0
11:02:21,291
11:02:24,306
11:02:26,0
11:02:28,0
11:02:31,820
11:02:33,423
11:02:34,0
11:02:38,599
11:02:41,290
11:02:43,0
11:02:45,0
11:02:46,0
11:02:49,306
11:02:53,0
11:02:57,778
11:03:02,398
Sex,Varón
Age,12
Test Duration in seconds,421
Number of False Positives,51
Average response time ,466
Fastest response time ,15
Slowest response time ,3236
2025-06-09 10:56:00,Count of response time over 500ms ,24
